Scaffold,ID,Start,End,Strand,5'UTR
ChrVI_A_nidulans_FGSC_A4,AN3339,1049593,1050621,+,0
ChrVI_A_nidulans_FGSC_A4,AN2997,2144522,2146989,+,120
ChrVI_A_nidulans_FGSC_A4,AN9065,544717,546416,+,13
ChrVI_A_nidulans_FGSC_A4,AN10396,918677,920651,-,319
ChrVI_A_nidulans_FGSC_A4,AN3024,2073639,2075279,+,52
ChrVI_A_nidulans_FGSC_A4,AN2902,2448702,2452166,+,508
ChrVI_A_nidulans_FGSC_A4,AN2659,3236513,3239658,-,279
ChrVI_A_nidulans_FGSC_A4,AN2788,2807780,2808815,-,0
ChrVI_A_nidulans_FGSC_A4,AN2962,2236647,2239540,+,258
ChrVI_A_nidulans_FGSC_A4,AN2909,2429739,2431104,+,147
ChrVI_A_nidulans_FGSC_A4,AN9230,14407,16586,-,0
ChrVI_A_nidulans_FGSC_A4,AN2988,2163684,2164956,-,100
ChrVI_A_nidulans_FGSC_A4,AN3117,1770408,1774336,-,162
ChrVI_A_nidulans_FGSC_A4,AN3450,677494,679563,+,152
ChrVI_A_nidulans_FGSC_A4,AN3068,1949869,1950644,-,11
ChrVI_A_nidulans_FGSC_A4,AN2872,2540801,2543504,-,89
ChrVI_A_nidulans_FGSC_A4,AN2884,2503439,2506342,+,650
ChrVI_A_nidulans_FGSC_A4,AN12316,2986791,2987546,-,62
ChrVI_A_nidulans_FGSC_A4,AN9081,493388,495341,+,159
ChrVI_A_nidulans_FGSC_A4,AN2889,2488622,2491449,-,94
ChrVI_A_nidulans_FGSC_A4,AN10362,2310637,2311806,+,77
ChrVI_A_nidulans_FGSC_A4,AN3251,1337290,1338294,+,22
ChrVI_A_nidulans_FGSC_A4,AN3217,1433229,1435725,-,69
ChrVI_A_nidulans_FGSC_A4,AN12327,3377348,3377919,+,0
ChrVI_A_nidulans_FGSC_A4,AN2920,2395428,2396375,-,0
ChrVI_A_nidulans_FGSC_A4,AN11926,515873,517436,-,0
ChrVI_A_nidulans_FGSC_A4,AN2936,2343296,2346986,+,96
ChrVI_A_nidulans_FGSC_A4,AN3061,1971608,1973856,-,266
ChrVI_A_nidulans_FGSC_A4,AN2726,3018359,3019776,+,3
ChrVI_A_nidulans_FGSC_A4,AN2635,3308360,3309634,+,0
ChrVI_A_nidulans_FGSC_A4,AN3088,1880424,1881911,-,100
ChrVI_A_nidulans_FGSC_A4,AN2826,2676124,2677728,+,240
ChrVI_A_nidulans_FGSC_A4,AN2902,2449068,2449079,+,0
ChrVI_A_nidulans_FGSC_A4,AN3435,729039,732016,-,19
ChrVI_A_nidulans_FGSC_A4,AN2803,2766285,2766842,-,0
ChrVI_A_nidulans_FGSC_A4,AN9142,318942,320921,+,796
ChrVI_A_nidulans_FGSC_A4,AN2949,2293924,2294970,+,97
ChrVI_A_nidulans_FGSC_A4,AN3173,1591018,1592201,-,35
ChrVI_A_nidulans_FGSC_A4,AN3368,941626,944774,+,355
ChrVI_A_nidulans_FGSC_A4,AN11691,2370664,2371626,-,48
ChrVI_A_nidulans_FGSC_A4,AN3411,801233,802734,+,268
ChrVI_A_nidulans_FGSC_A4,AN10410,712538,714428,+,340
ChrVI_A_nidulans_FGSC_A4,AN3110,1794495,1798358,+,477
ChrVI_A_nidulans_FGSC_A4,AN3241,1363998,1365238,-,0
ChrVI_A_nidulans_FGSC_A4,AN2924,2380806,2384412,+,58
ChrVI_A_nidulans_FGSC_A4,AN11698,2084676,2086508,+,0
ChrVI_A_nidulans_FGSC_A4,AN9121,375107,377054,-,469
ChrVI_A_nidulans_FGSC_A4,AN2633,3315309,3315950,-,0
ChrVI_A_nidulans_FGSC_A4,AN3047,2012817,2014010,-,0
ChrVI_A_nidulans_FGSC_A4,AN2647,3269084,3270755,-,100
ChrVI_A_nidulans_FGSC_A4,AN2717,3045804,3049694,+,0
ChrVI_A_nidulans_FGSC_A4,AN3235,1380431,1381689,-,0
ChrVI_A_nidulans_FGSC_A4,AN9119,382307,384720,-,157
ChrVI_A_nidulans_FGSC_A4,AN3086,1886418,1889008,+,139
ChrVI_A_nidulans_FGSC_A4,AN10370,2239764,2241376,+,117
ChrVI_A_nidulans_FGSC_A4,AN2828,2665365,2668028,+,0
ChrVI_A_nidulans_FGSC_A4,AN3355,988476,990824,-,89
ChrVI_A_nidulans_FGSC_A4,AN2744,2941020,2942707,+,74
ChrVI_A_nidulans_FGSC_A4,AN3228,1402957,1403965,+,0
ChrVI_A_nidulans_FGSC_A4,AN3425,761330,763435,+,339
ChrVI_A_nidulans_FGSC_A4,AN3164,1611019,1612284,-,58
ChrVI_A_nidulans_FGSC_A4,AN3035,2046903,2049712,-,197
ChrVI_A_nidulans_FGSC_A4,AN3466,634390,636616,+,61
ChrVI_A_nidulans_FGSC_A4,AN3009,2113484,2115580,-,0
ChrVI_A_nidulans_FGSC_A4,AN9163,236245,237256,-,75
ChrVI_A_nidulans_FGSC_A4,AN10401,917458,918239,-,28
ChrVI_A_nidulans_FGSC_A4,AN9173,204370,206317,+,8
ChrVI_A_nidulans_FGSC_A4,AN3221,1423101,1425126,+,268
ChrVI_A_nidulans_FGSC_A4,AN2793,2797077,2798467,+,55
ChrVI_A_nidulans_FGSC_A4,AN3174,1587325,1590223,-,4
ChrVI_A_nidulans_FGSC_A4,AN9201,121420,121820,+,0
ChrVI_A_nidulans_FGSC_A4,AN3186,1547126,1549939,-,0
ChrVI_A_nidulans_FGSC_A4,AN3091,1868810,1871661,-,77
ChrVI_A_nidulans_FGSC_A4,AN2821,2693130,2695208,-,50
ChrVI_A_nidulans_FGSC_A4,AN2870,2547796,2549413,+,246
ChrVI_A_nidulans_FGSC_A4,AN3121,1761465,1762590,-,144
ChrVI_A_nidulans_FGSC_A4,AN10377,1738907,1740900,+,111
ChrVI_A_nidulans_FGSC_A4,AN3042,2027999,2029104,+,124
ChrVI_A_nidulans_FGSC_A4,AN3145,1680250,1683093,+,382
ChrVI_A_nidulans_FGSC_A4,AN9196,142869,144131,-,0
ChrVI_A_nidulans_FGSC_A4,AN2643,3279681,3281444,+,0
ChrVI_A_nidulans_FGSC_A4,AN3033,2052398,2054441,-,84
ChrVI_A_nidulans_FGSC_A4,AN9186,164076,166159,+,10
ChrVI_A_nidulans_FGSC_A4,AN2927,2367687,2370651,+,118
ChrVI_A_nidulans_FGSC_A4,AN3156,1630454,1632191,+,167
ChrVI_A_nidulans_FGSC_A4,AN2851,2605643,2606776,-,68
ChrVI_A_nidulans_FGSC_A4,AN9531,3303567,3304571,+,0
ChrVI_A_nidulans_FGSC_A4,AN9151,275480,278941,-,72
ChrVI_A_nidulans_FGSC_A4,AN3017,2092395,2094442,-,107
ChrVI_A_nidulans_FGSC_A4,AN9225,38066,39794,-,0
ChrVI_A_nidulans_FGSC_A4,AN2702,3098244,3099222,-,250
ChrVI_A_nidulans_FGSC_A4,AN3308,1165231,1168206,-,1018
ChrVI_A_nidulans_FGSC_A4,AN10382,1585290,1587091,-,421
ChrVI_A_nidulans_FGSC_A4,AN3305,1183013,1184320,+,77
ChrVI_A_nidulans_FGSC_A4,AN3402,825067,827636,-,46
ChrVI_A_nidulans_FGSC_A4,AN10391,1125598,1128118,-,604
ChrVI_A_nidulans_FGSC_A4,AN2699,3112119,3113522,-,0
ChrVI_A_nidulans_FGSC_A4,AN3287,1229135,1230916,+,0
ChrVI_A_nidulans_FGSC_A4,AN10389,1261131,1262922,+,0
ChrVI_A_nidulans_FGSC_A4,AN3248,1343992,1345434,+,0
ChrVI_A_nidulans_FGSC_A4,AN3385,886084,888143,-,50
ChrVI_A_nidulans_FGSC_A4,AN11198,63157,64562,+,0
ChrVI_A_nidulans_FGSC_A4,AN3085,1890669,1892758,+,393
ChrVI_A_nidulans_FGSC_A4,AN3137,1713690,1715078,-,134
ChrVI_A_nidulans_FGSC_A4,AN3447,685018,687803,-,13
ChrVI_A_nidulans_FGSC_A4,AN3078,1913069,1913553,-,0
ChrVI_A_nidulans_FGSC_A4,AN3271,1274489,1276163,-,0
ChrVI_A_nidulans_FGSC_A4,AN2657,3243345,3245208,+,18
ChrVI_A_nidulans_FGSC_A4,AN11684,2535482,2537756,-,107
ChrVI_A_nidulans_FGSC_A4,AN11175,413159,413855,-,61
ChrVI_A_nidulans_FGSC_A4,AN2839,2633592,2635689,+,0
ChrVI_A_nidulans_FGSC_A4,AN2621,3362471,3373783,+,0
ChrVI_A_nidulans_FGSC_A4,AN3254,1326527,1328416,-,0
ChrVI_A_nidulans_FGSC_A4,AN9076,514067,515717,+,175
ChrVI_A_nidulans_FGSC_A4,AN9215,77878,78612,-,0
ChrVI_A_nidulans_FGSC_A4,AN10334,3130672,3132752,-,88
ChrVI_A_nidulans_FGSC_A4,AN12313,3015135,3015513,-,0
ChrVI_A_nidulans_FGSC_A4,AN2684,3152345,3154505,+,106
ChrVI_A_nidulans_FGSC_A4,AN3077,1914381,1916136,+,14
ChrVI_A_nidulans_FGSC_A4,AN2835,2645665,2647529,+,199
ChrVI_A_nidulans_FGSC_A4,AN2906,2436755,2438165,+,137
ChrVI_A_nidulans_FGSC_A4,AN9124,369757,371947,+,91
ChrVI_A_nidulans_FGSC_A4,AN9208,102978,103919,+,0
ChrVI_A_nidulans_FGSC_A4,AN10387,1284413,1286023,-,0
ChrVI_A_nidulans_FGSC_A4,AN2858,2583633,2585335,+,214
ChrVI_A_nidulans_FGSC_A4,AN2916,2405152,2407778,+,88
ChrVI_A_nidulans_FGSC_A4,AN10380,1531454,1535659,-,0
ChrVI_A_nidulans_FGSC_A4,AN11356,3327228,3327964,-,0
ChrVI_A_nidulans_FGSC_A4,AN2880,2511792,2514883,-,0
ChrVI_A_nidulans_FGSC_A4,AN3383,891445,893306,-,0
ChrVI_A_nidulans_FGSC_A4,AN2842,2626822,2627688,+,0
ChrVI_A_nidulans_FGSC_A4,AN9074,518619,519574,+,0
ChrVI_A_nidulans_FGSC_A4,AN2770,2853523,2856248,+,104
ChrVI_A_nidulans_FGSC_A4,AN3159,1622051,1623731,+,138
ChrVI_A_nidulans_FGSC_A4,AN2958,2254642,2256654,-,0
ChrVI_A_nidulans_FGSC_A4,AN2995,2147710,2149317,+,137
ChrVI_A_nidulans_FGSC_A4,AN2885,2501070,2502737,+,39
ChrVI_A_nidulans_FGSC_A4,AN3407,812614,815000,-,17
ChrVI_A_nidulans_FGSC_A4,AN3199,1508926,1510753,+,0
ChrVI_A_nidulans_FGSC_A4,AN2709,3075422,3076643,+,0
ChrVI_A_nidulans_FGSC_A4,AN2628,3335694,3337086,+,0
ChrVI_A_nidulans_FGSC_A4,AN3293,1208884,1209981,-,17
ChrVI_A_nidulans_FGSC_A4,AN3233,1384969,1386990,-,0
ChrVI_A_nidulans_FGSC_A4,AN3340,1042034,1047124,-,0
ChrVI_A_nidulans_FGSC_A4,AN11364,2823797,2824236,-,0
ChrVI_A_nidulans_FGSC_A4,AN2630,3324200,3325117,+,0
ChrVI_A_nidulans_FGSC_A4,AN3015,2096116,2097275,-,0
ChrVI_A_nidulans_FGSC_A4,AN3427,756369,757785,-,100
ChrVI_A_nidulans_FGSC_A4,AN3396,840978,844847,-,642
ChrVI_A_nidulans_FGSC_A4,AN11696,2097444,2098228,+,37
ChrVI_A_nidulans_FGSC_A4,AN11376,1694805,1695318,-,0
ChrVI_A_nidulans_FGSC_A4,AN3183,1554155,1558972,+,172
ChrVI_A_nidulans_FGSC_A4,AN2953,2279060,2280361,+,198
ChrVI_A_nidulans_FGSC_A4,AN10417,645008,647248,-,339
ChrVI_A_nidulans_FGSC_A4,AN2992,2155351,2157144,-,59
ChrVI_A_nidulans_FGSC_A4,AN9105,417237,420017,+,127
ChrVI_A_nidulans_FGSC_A4,AN10365,1742688,1743684,-,69
ChrVI_A_nidulans_FGSC_A4,AN9067,539265,542451,+,98
ChrVI_A_nidulans_FGSC_A4,AN2652,3255270,3257448,-,0
ChrVI_A_nidulans_FGSC_A4,AN11931,334179,335330,-,0
ChrVI_A_nidulans_FGSC_A4,AN3347,1016559,1018837,+,51
ChrVI_A_nidulans_FGSC_A4,AN2785,2812868,2815039,-,0
ChrVI_A_nidulans_FGSC_A4,AN10372,2650806,2651998,-,0
ChrVI_A_nidulans_FGSC_A4,AN10349,2357613,2359600,+,57
ChrVI_A_nidulans_FGSC_A4,AN2766,2866825,2871095,-,622
ChrVI_A_nidulans_FGSC_A4,AN9060,556674,558318,-,56
ChrVI_A_nidulans_FGSC_A4,AN9145,311108,311589,+,0
ChrVI_A_nidulans_FGSC_A4,AN2690,3136355,3137933,+,0
ChrVI_A_nidulans_FGSC_A4,AN10356,1711426,1713182,-,119
ChrVI_A_nidulans_FGSC_A4,AN2735,2981690,2983585,-,150
ChrVI_A_nidulans_FGSC_A4,AN2947,2296437,2298873,+,178
ChrVI_A_nidulans_FGSC_A4,AN2866,2564641,2566456,-,62
ChrVI_A_nidulans_FGSC_A4,AN9131,351306,352692,-,109
ChrVI_A_nidulans_FGSC_A4,AN10398,1119810,1121372,-,197
ChrVI_A_nidulans_FGSC_A4,AN11694,2215180,2216597,-,144
ChrVI_A_nidulans_FGSC_A4,AN2637,3297563,3298828,+,83
ChrVI_A_nidulans_FGSC_A4,AN3112,1789224,1791463,+,50
ChrVI_A_nidulans_FGSC_A4,AN3171,1593874,1594989,-,106
ChrVI_A_nidulans_FGSC_A4,AN11679,2684646,2686044,+,43
ChrVI_A_nidulans_FGSC_A4,AN2778,2832001,2832932,+,113
ChrVI_A_nidulans_FGSC_A4,AN2814,2731205,2733291,+,0
ChrVI_A_nidulans_FGSC_A4,AN3291,1212230,1213997,-,15
ChrVI_A_nidulans_FGSC_A4,AN3337,1055127,1055947,+,0
ChrVI_A_nidulans_FGSC_A4,AN2715,3051653,3052848,-,1
ChrVI_A_nidulans_FGSC_A4,AN9154,264204,266359,-,0
ChrVI_A_nidulans_FGSC_A4,AN3371,931449,933808,+,49
ChrVI_A_nidulans_FGSC_A4,AN3215,1440916,1441866,+,172
ChrVI_A_nidulans_FGSC_A4,AN3052,1995554,1996051,+,0
ChrVI_A_nidulans_FGSC_A4,AN3119,1766609,1767957,+,232
ChrVI_A_nidulans_FGSC_A4,AN2817,2719257,2719770,+,219
ChrVI_A_nidulans_FGSC_A4,AN3262,1300809,1303057,+,61
ChrVI_A_nidulans_FGSC_A4,AN2960,2244671,2246347,-,179
ChrVI_A_nidulans_FGSC_A4,AN11170,266687,269201,+,0
ChrVI_A_nidulans_FGSC_A4,AN3066,1958906,1960731,+,0
ChrVI_A_nidulans_FGSC_A4,AN3451,673064,677319,-,81
ChrVI_A_nidulans_FGSC_A4,AN3200,1503877,1506055,-,37
ChrVI_A_nidulans_FGSC_A4,AN11391,972039,972320,-,0
ChrVI_A_nidulans_FGSC_A4,AN9213,85183,87901,-,0
ChrVI_A_nidulans_FGSC_A4,AN10409,753134,756128,-,445
ChrVI_A_nidulans_FGSC_A4,AN3430,745240,746515,-,36
ChrVI_A_nidulans_FGSC_A4,AN12460,3302001,3303083,-,51
ChrVI_A_nidulans_FGSC_A4,AN2897,2465357,2468684,+,0
ChrVI_A_nidulans_FGSC_A4,AN10415,647329,651942,-,171
ChrVI_A_nidulans_FGSC_A4,AN2934,2348623,2349534,+,0
ChrVI_A_nidulans_FGSC_A4,AN3028,2065348,2066868,-,252
ChrVI_A_nidulans_FGSC_A4,AN3331,1075520,1076650,+,51
ChrVI_A_nidulans_FGSC_A4,AN3273,1263714,1269201,-,0
ChrVI_A_nidulans_FGSC_A4,AN2830,2661139,2662277,+,68
ChrVI_A_nidulans_FGSC_A4,AN9109,404512,408299,+,204
ChrVI_A_nidulans_FGSC_A4,AN3278,1251720,1253325,-,71
ChrVI_A_nidulans_FGSC_A4,AN3323,1111904,1112459,-,0
ChrVI_A_nidulans_FGSC_A4,AN2701,3104031,3109975,+,637
ChrVI_A_nidulans_FGSC_A4,AN3286,1231135,1233054,-,86
ChrVI_A_nidulans_FGSC_A4,AN3134,1718940,1722960,-,148
ChrVI_A_nidulans_FGSC_A4,AN2696,3120116,3121802,+,0
ChrVI_A_nidulans_FGSC_A4,AN10394,951114,951719,+,66
ChrVI_A_nidulans_FGSC_A4,AN2915,2408705,2410029,+,0
ChrVI_A_nidulans_FGSC_A4,AN3195,1517096,1519006,+,0
ChrVI_A_nidulans_FGSC_A4,AN9172,206356,208262,-,68
ChrVI_A_nidulans_FGSC_A4,AN3198,1511883,1513128,+,0
ChrVI_A_nidulans_FGSC_A4,AN3010,2111889,2113169,+,4
ChrVI_A_nidulans_FGSC_A4,AN9113,394537,396670,-,0
ChrVI_A_nidulans_FGSC_A4,AN3464,637696,638930,+,47
ChrVI_A_nidulans_FGSC_A4,AN11689,2432560,2433806,+,0
ChrVI_A_nidulans_FGSC_A4,AN11183,566311,567124,+,67
ChrVI_A_nidulans_FGSC_A4,AN3327,1096695,1098125,-,0
ChrVI_A_nidulans_FGSC_A4,AN3311,1156430,1157865,-,0
ChrVI_A_nidulans_FGSC_A4,AN9137,332749,333452,-,0
ChrVI_A_nidulans_FGSC_A4,AN2978,2194319,2195364,-,81
ChrVI_A_nidulans_FGSC_A4,AN3400,830664,831498,-,0
ChrVI_A_nidulans_FGSC_A4,AN9073,520241,521251,+,205
ChrVI_A_nidulans_FGSC_A4,AN2736,2978675,2981746,+,129
ChrVI_A_nidulans_FGSC_A4,AN3007,2117761,2118592,+,0
ChrVI_A_nidulans_FGSC_A4,AN11187,243149,245618,+,0
ChrVI_A_nidulans_FGSC_A4,AN11173,560740,562397,-,0
ChrVI_A_nidulans_FGSC_A4,AN3210,1464946,1467577,+,130
ChrVI_A_nidulans_FGSC_A4,AN10379,1524783,1526142,+,52
ChrVI_A_nidulans_FGSC_A4,AN10353,1804478,1806217,-,0
ChrVI_A_nidulans_FGSC_A4,AN3369,936004,938721,-,182
ChrVI_A_nidulans_FGSC_A4,AN12252,3083165,3083600,-,141
ChrVI_A_nidulans_FGSC_A4,AN3101,1828128,1834989,+,259
ChrVI_A_nidulans_FGSC_A4,AN10343,2739607,2741522,-,1
ChrVI_A_nidulans_FGSC_A4,AN3445,689706,693200,-,638
ChrVI_A_nidulans_FGSC_A4,AN9088,471211,472476,+,0
ChrVI_A_nidulans_FGSC_A4,AN3234,1382879,1383909,-,0
ChrVI_A_nidulans_FGSC_A4,AN3162,1614840,1615921,-,31
ChrVI_A_nidulans_FGSC_A4,AN9095,449483,451227,+,0
ChrVI_A_nidulans_FGSC_A4,AN3357,976688,980138,+,1526
ChrVI_A_nidulans_FGSC_A4,AN10329,3344060,3345154,-,0
ChrVI_A_nidulans_FGSC_A4,AN3094,1851734,1855764,+,521
ChrVI_A_nidulans_FGSC_A4,AN3314,1149170,1149878,+,0
ChrVI_A_nidulans_FGSC_A4,AN9203,114795,116576,-,0
ChrVI_A_nidulans_FGSC_A4,AN2673,3187844,3189605,+,0
ChrVI_A_nidulans_FGSC_A4,AN2942,2319516,2321192,+,257
ChrVI_A_nidulans_FGSC_A4,AN2780,2827664,2829580,-,0
ChrVI_A_nidulans_FGSC_A4,AN2968,2217587,2218933,-,105
ChrVI_A_nidulans_FGSC_A4,AN3420,779281,782463,+,1021
ChrVI_A_nidulans_FGSC_A4,AN3070,1944339,1946092,-,49
ChrVI_A_nidulans_FGSC_A4,AN2973,2204912,2208553,+,73
ChrVI_A_nidulans_FGSC_A4,AN9164,235013,236006,+,0
ChrVI_A_nidulans_FGSC_A4,AN2664,3219383,3221290,-,0
ChrVI_A_nidulans_FGSC_A4,AN2805,2760637,2763345,+,0
ChrVI_A_nidulans_FGSC_A4,AN2818,2712426,2714545,-,79
ChrVI_A_nidulans_FGSC_A4,AN2809,2750947,2751967,-,0
ChrVI_A_nidulans_FGSC_A4,AN9161,240183,241814,-,49
ChrVI_A_nidulans_FGSC_A4,AN2746,2938224,2939919,+,138
ChrVI_A_nidulans_FGSC_A4,AN3223,1415451,1418027,+,89
